Green Bay,308,2006
Carolina,307.9,2006
Miami,307,2006
NY Jets,304.8,2006
Denver,301.4,2006
Baltimore,298.1,2006
Buffalo,292.1,2006
Houston,286.8,2006
Tennessee,285.8,2006
Cleveland,254.5,2006
Tampa Bay,248.9,2006
Oakland,246.9,2006
Seattle,389.2,2005
Kansas City,382,2005
Cincinnati,378,2005
Denver,367.2,2005
Dallas,352.9,2005
San Diego,351,2005
Philadelphia,350.2,2005
Atlanta,347.8,2005
Arizona,346.3,2005
Tennessee,342.4,2005
Miami,340.6,2005
Pittsburgh,340.2,2005
St. Louis,333.5,2005
Washington,333.4,2005
Oakland,325.9,2005
Jacksonville,323.8,2005
Indianapolis,323.1,2005
NY Giants,322,2005
Tampa Bay,318.9,2005
New England,318.8,2005
Green Bay,316.8,2005
Baltimore,316.5,2005
Carolina,307.2,2005
Minnesota,304.6,2005
Cleveland,294.4,2005
Detroit,273.4,2005
Houston,268.5,2005
New Orleans,260.5,2005
San Francisco,251.2,2005
Chicago,250.2,2005
Buffalo,247.6,2005
NY Jets,244,2005
Indianapolis,435.4,2004
Kansas City,418.1,2004
Denver,417.6,2004
St. Louis,403.1,2004
Green Bay,395.7,2004
NY Jets,386.6,2004
Minnesota,366.8,2004
San Diego,363.4,2004
Philadelphia,361.9,2004
Seattle,355,2004
New England,348.2,2004
Pittsburgh,343.3,2004
Atlanta,342.6,2004
Tennessee,337.2,2004
New Orleans,331.6,2004
Houston,323.9,2004
Dallas,322.9,2004
Oakland,322.8,2004
Detroit,316.2,2004
San Francisco,310,2004
Tampa Bay,309.8,2004
Cincinnati,309.8,2004
Carolina,309,2004
Jacksonville,308.5,2004
Miami,295.6,2004
Buffalo,294,2004
Cleveland,291.9,2004
Washington,291.4,2004
NY Giants,289,2004
Arizona,284.6,2004
Baltimore,274.2,2004
Chicago,246.4,2004
